lb_nr;stationeri
634;115700,115800,115900,116000,116100
346;Ingen stationering
229;Ingen stationering
233;Ingen stationering
103;Ingen stationering
424;69000,69100,69200,69300,69400,69500,69600,69700,69800,69900,70000,70100,70600,70700,70800,70900,71000,71100,71200,71300
122;Ingen stationering
101;Ingen stationering
422;68200,68300,68400,68500,68600,68700,68800,68900,69000
154;Ingen stationering
321;53100,53200,53300,53400,53500
204;Ingen stationering
416;66500,66600,66700,66800,66200,66300,66400,66000,66100
347;53100
240;Ingen stationering
203;Ingen stationering
562;75100,752
150;Ingen stationering
528;84900,85000,85100,85200,85300,85400,85500,85600,85700,85800,85900
540;90700,90800,90900,91000,91100,,91200,91300,91400
201;Ingen stationering
618;105800,106300,106400,106500,106600,106700,106800,106900,107000,107100,107200,107300,107400
345;Ingen stationering
238;Ingen stationering
202;Ingen stationering
331;57300,57400,57500,57600,57700,57800,57900
535;88100,88200,88300,88000,88400
502;74200,74300,74400,74500,74600,74700
612;103800,103900,104000,104100
341;63500,63600,63700
338;62800,62900,63000,63100,63200,63300,63400,63500,63700,63800,63900,61800,61900,62000,62100,62200,62300,62400,62500,62600,62700
553;94700,94800,94900,95000,95100,95200,95300,
603;98000,97800,97900
241;45200,453
318;52500,52600,52700,52800,52900,52300,52400
608;101800,101900,102000,102100,102200,102300,102400,102500
527;84400,84500,84600,84700,84800,84900
309;48600,48700,48800,48900,49000,49100,49200,49300,49400,49500,49600,49700,49800
405;63900,64000,64100,64200
128;Ingen stationering
420;Ingen stationering
123;Ingen stationering
232;Ingen stationering
425;70100,70200,70300,70400,70500,70600
629;113400,113500,113600
237;Ingen stationering
619;106300
110;Ingen stationering
119;Ingen stationering
421;67700,67800,67900,68000,68100,68200
118;Ingen stationering
116;Ingen stationering
211;Ingen stationering
558;95300,95400,95500,95600,95700,95800
552;95800,95900,96000,96100,96200,94300,94400,94500,94600,94700,94100,94200
156;Ingen stationering
121;Ingen stationering
220;Ingen stationering
146;Ingen stationering
302;46000,46100,46200,46300,46400
409;Ingen stationering
518;80400,805
514;79400,79500,79600,79700,79800,79900
508;76400,765
155;Ingen stationering
550;93300,93400,93500,93600,93700
147;Ingen stationering
610;102800,102900,103000,103100,103200,103300,103400,103500,103600
415;65400,65500,65600,65700,65800,65900,66000
124;Ingen stationering
520;80500,80600,80700,80800,80900
412;65300,654
606;99800,99900,100000
222;Ingen stationering
622;108800,108900,109000,109400,109500
561;97000
531;86000,86100,86200,86300,86400,86500,86600,86700,86800,86900
102;Ingen stationering
616;105700,1058
131;Ingen stationering
513;78900,79000,78800
430;73100,73200,73300,73400,73500,73600,73700,73800
626;111800,111900,112000,112100
336;60000,60100,60200,60300,60700,60800,60900,61000,61100,61200,61300,60400,60500,60600,61400,59500,59600,59700,59800,59900,
521;81600,80900,81000,81100,81200,81300,81400,82000,82100,82200,82300,82400,
316;52000,52100,52200,52300
617;105800
303;46400,46500,46600,46700,46800,46900,47000
115;Ingen stationering
413;65000,65100,65200
542;91500,914
503;76000,76100,76200,74700,74800,74900,75000,75100,75400,75500,75600,75700,75800,75900,75200,75300
342;61400,61500,61600,61700,61800
218;Ingen stationering
505;76200,763
142;Ingen stationering
130;Ingen stationering
554;95000
243;Ingen stationering
242;Ingen stationering
327;55700,55800,55900
114;Ingen stationering
322;53900,54000,54100,54200,53500,53600,53700,53800,54300,54400,54500
104;Ingen stationering
151;Ingen stationering
326;55400,55500,55600,55700
328;55900,56000,56100,56200,56300,56400,56500,56600,56700,56800
140;Ingen stationering
605;99800,99300,99400,99500,99600,99700
133;Ingen stationering
625;111400,111500,111600,111700,111800
607;101200,101300,101400,101500,101600,101700,101800,100000,100100,100200,100800,100900,101000,101100,100300,100400,100500,100600,100700
631;113700,1138
546;91900,92000,92100,92200,92300,92400
219;Ingen stationering
410;64400
225;Ingen stationering
406;64200,64300,64400
517;80200,80300,80400
530;Ingen stationering
138;Ingen stationering
551;94000,94100,93700,93800,93900
135;Ingen stationering
234;Ingen stationering
524;83100,83200,83300,83400
529;Ingen stationering
506;76300,764
335;Ingen stationering
304;47300,47400,47500,47600,47000,47100,47200
126;Ingen stationering
239;45300,45400,45500,45600,45700,45800
630;113600,113700,113800,113900,114000,114100
213;Ingen stationering
609;102500,102600,102700,102800
117;Ingen stationering
144;Ingen stationering
313;50500,50600,50700,50800,50900,51000,51100,51200,51300,51400,51500,51600,51700,51800,51900
426;Ingen stationering
549;92900,93000,93100,93200,93300
308;48200,48300,48400,48500,48600
637;116200,116300,116400,116500,116505
511;78400,78500,78600,78700,78800
627;112100,112200,112300,112400,112500
604;97700,978
217;Ingen stationering
120;Ingen stationering
208;Ingen stationering
214;Ingen stationering
230;Ingen stationering
602;98000,98100,98200,98300,98400,98500,98600,98700,98800,98900,99000,99100,99200,99300,97000,97100,97200,97300,97400,97500,97600,97700
332;57900,58000,58100,58200
236;Ingen stationering
145;Ingen stationering
315;51900,52
407;64400
515;Ingen stationering
329;56800,56900,57000,57100,57200,57300,56600
343;Ingen stationering
559;96200
207;Ingen stationering
536;88400,88500,88600,88700,88800,88900,89000,89100
614;105200,105300,105400,105500
534;87900,88
224;Ingen stationering
323;Ingen stationering
429;72800,72900,73000,73100
512;78800,78900,79000,79100,79200,79300,79400
111;Ingen stationering
611;103600,103700,103800,104100,104200,104300,104400
560;Ingen stationering
319;52900
615;105800,105900,106000,106100,106200,105500,105600,105700
307;48000,48100,48200
125;Ingen stationering
638;Ingen stationering
411;64400,64500,64600,64700,64800,64900,65000,
525;83400,83500,83600,83700,83800,83900,84000,84100
516;80200,79900,80000,80100
223;Ingen stationering
539;90400,90500,90600,90700
245;Ingen stationering
532;86900,87000,87100,87200,87300,87400
538;89900,90000,90100,90200,90300,90400,89100,89200,89300,89400,89500,89600,89700,89800
632;114100,114200,114300,114400,114500,114600,114700,114800,114900,115000,115100,115200,115300,115400,115500
212;Ingen stationering
523;82700,82800,82900,83000,83100
620;107400,107500,107600,107700,107800,107900,108000
621;109000,109100,109200,109300,109400,108000,108100,108200,108300,108400,108500,108600,108700,108800
541;90900
109;Ingen stationering
555;Ingen stationering
325;55000,55100,55200,55300,55400
305;47600,47700,47800
344;Ingen stationering
301;45800,45900,46000
623;109500,109600,109700,109800,109900,110000,110100,110200,110300,110400,110500,110600,,110700,110800,110900,111000
624;111000,111100,111200,111300,111400
333;58300,58400,58500,58600,58700
306;47800,47900,48000
533;87400,87500,87600,87700,87800,87900
509;76600,76700,76800,76900,77000,77100,77200,77300,77400,77500,77600,77700,77800,77900,78000,78100,78200,78300,78400
129;Ingen stationering
139;Ingen stationering
633;115500,115600,115700
158;Ingen stationering
501;73800,73900,74000,74100,74200
157;Ingen stationering
522;81400,81500,81600,81700,81800,81900,82000
246;Ingen stationering
108;Ingen stationering
507;76500,766
136;Ingen stationering
317;52300
310;Ingen stationering
544;91500,91600,91700,91800,91900
628;112500,112600,112700,112800,112900,113000,113100,113200,113300,113400
613;105000,105100,105200,104400,104500,104600,104700,104800,104900
510;78400
635;116100,1162
334;59100,59200,59300,59400,59500,58700,58800,58900,59000
206;Ingen stationering
152;Ingen stationering
235;Ingen stationering
127;Ingen stationering
414;65200,653
159;Ingen stationering
537;88900
543;Ingen stationering
107;Ingen stationering
143;Ingen stationering
113;Ingen stationering
106;Ingen stationering
137;Ingen stationering
311;49800,49900,50000,50100,50200,50300,50400,50500
636;116200
205;Ingen stationering
132;Ingen stationering
216;Ingen stationering
148;Ingen stationering
215;Ingen stationering
504;75200
419;Ingen stationering
247;Ingen stationering
324;54500,54600,54700,54800,54900,55000
423;67300,67400,67500,67600,67700
210;Ingen stationering
428;72500,72600,72700,72800
547;92400,92500,92600,92700,92800,92900
320;52900,53000,53100
340;Ingen stationering
526;84100,84200,84300,84400
221;Ingen stationering
427;71300,71400,71500,71600,71700,71800,71900,72000,72100,72200,72300,72400,72500
248;Ingen stationering
563;82400,82500,82600,82700
